,have_inv,intervallo
583,1,"(38400.0, 38600.0]"
584,1,"(40600.0, 40800.0]"
585,1,"(800.0, 1000.0]"
586,1,"(1800.0, 2000.0]"
587,1,"(4800.0, 5000.0]"
588,0,"(-200.0, 0.0]"
589,0,"(-200.0, 0.0]"
590,1,"(11800.0, 12000.0]"
591,1,"(3600.0, 3800.0]"
592,1,"(0.0, 200.0]"
593,1,"(600.0, 800.0]"
594,1,"(-200.0, 0.0]"
595,1,"(0.0, 200.0]"
596,0,"(-200.0, 0.0]"
597,1,"(200.0, 400.0]"
598,1,"(1800.0, 2000.0]"
599,1,"(0.0, 200.0]"
600,1,"(0.0, 200.0]"
601,1,"(200.0, 400.0]"
602,0,"(-200.0, 0.0]"
603,1,"(0.0, 200.0]"
604,1,"(200.0, 400.0]"
605,1,"(0.0, 200.0]"
606,1,"(-200.0, 0.0]"
607,1,"(8200.0, 8400.0]"
608,1,"(0.0, 200.0]"
609,1,"(200.0, 400.0]"
610,1,"(0.0, 200.0]"
611,1,"(0.0, 200.0]"
612,1,"(0.0, 200.0]"
613,1,"(40800.0, 41000.0]"
614,1,"(6000.0, 6200.0]"
615,1,"(0.0, 200.0]"
616,1,"(40600.0, 40800.0]"
617,0,"(-1600.0, -1400.0]"
618,1,"(2400.0, 2600.0]"
619,0,"(-200.0, 0.0]"
621,1,"(35200.0, 35400.0]"
622,1,"(40400.0, 40600.0]"
623,1,"(40800.0, 41000.0]"
624,1,"(1200.0, 1400.0]"
625,1,"(40800.0, 41000.0]"
626,1,"(0.0, 200.0]"
627,1,"(23200.0, 23400.0]"
628,1,"(0.0, 200.0]"
629,1,"(200.0, 400.0]"
630,1,"(400.0, 600.0]"
631,1,"(40600.0, 40800.0]"
632,1,"(9200.0, 9400.0]"
633,1,"(40400.0, 40600.0]"
634,1,"(2600.0, 2800.0]"
635,1,"(40400.0, 40600.0]"
636,1,"(22200.0, 22400.0]"
637,1,"(0.0, 200.0]"
638,1,"(0.0, 200.0]"
639,1,"(0.0, 200.0]"
640,0,"(-200.0, 0.0]"
641,1,"(0.0, 200.0]"
642,1,"(0.0, 200.0]"
643,0,"(0.0, 200.0]"
644,1,"(0.0, 200.0]"
645,1,"(600.0, 800.0]"
646,1,"(0.0, 200.0]"
647,1,"(0.0, 200.0]"
648,1,"(0.0, 200.0]"
649,1,"(40600.0, 40800.0]"
650,1,"(0.0, 200.0]"
651,1,"(10200.0, 10400.0]"
652,1,"(0.0, 200.0]"
653,1,"(600.0, 800.0]"
654,1,"(800.0, 1000.0]"
655,1,"(0.0, 200.0]"
656,1,"(-200.0, 0.0]"
657,1,"(1000.0, 1200.0]"
658,1,"(400.0, 600.0]"
659,1,"(40400.0, 40600.0]"
660,1,"(0.0, 200.0]"
661,1,"(0.0, 200.0]"
662,1,"(0.0, 200.0]"
663,1,"(-200.0, 0.0]"
664,0,"(0.0, 200.0]"
